origin,destination,count,del_count,can_count,
MCI,IAD,7,0,1,
MCO,BWI,3341,677,56,
MCO,DCA,3659,550,43,
MCO,IAD,1811,509,17,
MDW,BWI,2180,500,67,
MDW,DCA,3160,648,166,
MDW,IAD,741,150,19,
MEM,BWI,419,94,5,
MEM,IAD,81,14,0,
MHT,BWI,2453,370,53,
MIA,BWI,1177,245,10,
MIA,DCA,3245,714,40,
MIA,IAD,886,212,6,
MKE,BWI,962,159,15,
MKE,DCA,1066,134,27,
MSP,BWI,1153,183,11,
MSP,DCA,1822,228,5,
MSP,IAD,673,116,9,
MSY,BWI,876,142,10,
MSY,DCA,846,167,14,
MSY,IAD,338,27,2,
MYR,BWI,233,68,4,
OAK,BWI,355,82,2,
OKC,BWI,365,59,7,
OKC,IAD,6,1,0,
OMA,DCA,1,1,0,
ORD,BWI,2764,742,68,
ORD,DCA,6495,1475,178,
ORD,IAD,2113,546,38,
ORF,BWI,1262,244,22,
PBI,BWI,1025,216,8,
PBI,DCA,1066,176,14,
PBI,IAD,59,19,3,
PDX,BWI,63,20,1,
PDX,IAD,272,16,2,
PDX,DCA,365,29,0,
PHL,DCA,114,29,1,
PHL,BWI,7,5,0,
PHX,BWI,1731,319,7,
PHX,DCA,1068,191,10,
PHX,IAD,366,23,1,
PIT,BWI,1034,173,18,
PIT,IAD,227,38,16,
PIT,DCA,2,0,0,
PNS,DCA,10,0,2,
PVD,BWI,2781,435,63,
PVD,IAD,62,13,4,
PVD,DCA,46,9,0,
PWM,BWI,1095,186,20,
PWM,DCA,47,4,2,
RDU,BWI,2128,407,41,
RDU,DCA,28,12,1,
RDU,IAD,419,92,9,
ROC,BWI,786,152,13,
ROC,IAD,114,21,4,
RSW,BWI,1284,225,19,
RSW,DCA,846,174,17,
RSW,IAD,88,29,3,
SAN,BWI,763,120,3,
SAN,IAD,1243,239,8,
SAT,BWI,848,151,5,
SAT,IAD,1,1,0,
SAV,IAD,87,16,2,
SDF,BWI,1240,231,14,
SDF,DCA,2,1,0,
SDF,IAD,14,1,0,
SEA,BWI,758,93,1,
SEA,IAD,1243,194,2,
SEA,DCA,719,62,0,
SFO,BWI,325,81,2,
SFO,DCA,726,132,5,
SFO,IAD,3840,781,29,
SJU,DCA,365,105,2,
SJU,IAD,171,52,2,
SJU,BWI,657,75,0,
SLC,BWI,1079,132,2,
SLC,DCA,688,103,3,
SMF,IAD,268,21,3,
STL,BWI,1311,267,24,
STL,DCA,1062,248,22,
STL,IAD,9,2,0,
STT,IAD,153,38,5,
SYR,DCA,32,4,1,
SYR,IAD,26,1,1,
TPA,BWI,2363,418,26,
TPA,DCA,2922,398,29,
TPA,IAD,1075,201,10,
TUL,IAD,5,0,0,
TYS,IAD,22,7,1,
ECP,BWI,209,31,0,
IAD,UST,3,1,0,
BWI,ECP,209,62,0,
UST,IAD,3,2,0,
